1,102400,0.306467
1,102400,0.306008
1,102400,0.308184
1,102400,0.306025
1,102400,0.306610
2,102400,0.153119
2,102400,0.155614
2,102400,0.152995
2,102400,0.152875
2,102400,0.153720
4,102400,0.083261
4,102400,0.082676
4,102400,0.083075
4,102400,0.082887
4,102400,0.082715
8,102400,0.047409
8,102400,0.048662
8,102400,0.047399
8,102400,0.047398
8,102400,0.048809
16,102400,0.025148
16,102400,0.025230
16,102400,0.025215
16,102400,0.025260
16,102400,0.025194
32,102400,0.012979
32,102400,0.013007
32,102400,0.013099
32,102400,0.013123
32,102400,0.012888
1,3200,0.000702
1,3200,0.000677
1,3200,0.000564
1,3200,0.000326
1,3200,0.000321
2,3200,0.000244
2,3200,0.000230
2,3200,0.000201
2,3200,0.000195
2,3200,0.000199
4,3200,0.000117
4,3200,0.000125
4,3200,0.000141
4,3200,0.000121
4,3200,0.000122
8,3200,0.000111
8,3200,0.000118
8,3200,0.000108
8,3200,0.000110
8,3200,0.000111
16,3200,0.001661
16,3200,0.000117
16,3200,0.000105
16,3200,0.000108
16,3200,0.000117
32,3200,0.000122
32,3200,0.000195
32,3200,0.000198
32,3200,0.001388
32,3200,0.000171
1,6400,0.001265
1,6400,0.001264
1,6400,0.001268
1,6400,0.002518
1,6400,0.001261
2,6400,0.000705
2,6400,0.000684
2,6400,0.000708
2,6400,0.000683
2,6400,0.000670
4,6400,0.002312
4,6400,0.000384
4,6400,0.000389
4,6400,0.000386
4,6400,0.000390
8,6400,0.000281
8,6400,0.000273
8,6400,0.000266
8,6400,0.000280
8,6400,0.000279
16,6400,0.000197
16,6400,0.000203
16,6400,0.000200
16,6400,0.000186
16,6400,0.000213
32,6400,0.001418
32,6400,0.000216
32,6400,0.000185
32,6400,0.000191
32,6400,0.000211
1,12800,0.004858
1,12800,0.004848
1,12800,0.004832
1,12800,0.004853
1,12800,0.004858
2,12800,0.002479
2,12800,0.002454
2,12800,0.002461
2,12800,0.002499
2,12800,0.002490
4,12800,0.001377
4,12800,0.001374
4,12800,0.001370
4,12800,0.001370
4,12800,0.001385
8,12800,0.002101
8,12800,0.000850
8,12800,0.000834
8,12800,0.000959
8,12800,0.000868
16,12800,0.000517
16,12800,0.000514
16,12800,0.000684
16,12800,0.000496
16,12800,0.000480
32,12800,0.000455
32,12800,0.000374
32,12800,0.000390
32,12800,0.000359
32,12800,0.000355
1,25600,0.019605
1,25600,0.019481
1,25600,0.019463
1,25600,0.019611
1,25600,0.019431
2,25600,0.009896
2,25600,0.009968
2,25600,0.009854
2,25600,0.009840
2,25600,0.009921
4,25600,0.005438
4,25600,0.005426
4,25600,0.005441
4,25600,0.005425
4,25600,0.006753
8,25600,0.003127
8,25600,0.003146
8,25600,0.003159
8,25600,0.003162
8,25600,0.003148
16,25600,0.001831
16,25600,0.001782
16,25600,0.001838
16,25600,0.001827
16,25600,0.001796
32,25600,0.001854
32,25600,0.000946
32,25600,0.001074
32,25600,0.000985
32,25600,0.000995
1,51200,0.076848
1,51200,0.077212
1,51200,0.076809
1,51200,0.076842
1,51200,0.076762
2,51200,0.038693
2,51200,0.038727
2,51200,0.038608
2,51200,0.039615
2,51200,0.039502
4,51200,0.022727
4,51200,0.021082
4,51200,0.021128
4,51200,0.021124
4,51200,0.021103
8,51200,0.012338
8,51200,0.012142
8,51200,0.012090
8,51200,0.013858
8,51200,0.012104
16,51200,0.006841
16,51200,0.006571
16,51200,0.006821
16,51200,0.006591
16,51200,0.007585
32,51200,0.003616
32,51200,0.003730
32,51200,0.003793
32,51200,0.003660
32,51200,0.003901
